#Adrift data
#Probabilities of a particle being in a determined coordinate after being released from a sampling site coordinate (year 0, month 0)
#in a two year interval, with 2 month steps between registers.
SAL				
year	month	lat	lng	probability
0	6	14	300	0.01414
0	6	14	301	0.00932
0	6	14	302	0.00364
0	6	14	303	0.01364
0	6	14	304	0.00755
0	6	14	305	0.00911
0	6	14	306	0.00571
0	6	14	307	0.00126
0	6	14	308	0.00068
0	6	14	309	0.00136
0	6	14	310	0.00033
0	6	15	280	0.00079
0	6	15	281	0.00028
0	6	15	282	0.00073
0	6	15	283	0.00035
0	6	15	284	0.00166
0	6	15	285	0.00065
0	6	15	286	0.00202
0	6	15	287	0.00402
0	6	15	288	0.00072
0	6	15	289	0.00117
0	6	15	290	0.00226
0	6	15	291	0.00208
0	6	15	292	0.00208
0	6	15	293	0.00126
0	6	15	294	0.00229
0	6	15	295	0.01093
0	6	15	296	0.00377
0	6	15	297	0.00348
0	6	15	298	0.00339
0	6	15	299	0.00271
0	6	15	300	0.00355
0	6	15	301	0.00798
0	6	15	302	0.00565
0	6	15	303	0.0062
0	6	15	304	0.00734
0	6	15	305	0.01363
0	6	15	306	0.00856
0	6	15	307	0.00684
0	6	15	308	0.00111
0	6	15	309	0.00149
0	6	15	310	0.00054
0	6	15	311	0.00191
0	6	15	312	0.00051
0	6	16	280	0.00029
0	6	16	281	0.00211
0	6	16	282	0.00697
0	6	16	283	0.0006
0	6	16	284	0.00525
0	6	16	285	0.0013
0	6	16	286	0.00173
0	6	16	287	0.00349
0	6	16	288	0.00536
0	6	16	289	0.00622
0	6	16	290	0.00618
0	6	16	291	0.0018
0	6	16	292	0.00038
0	6	16	294	0.00078
0	6	16	295	0.00112
0	6	16	296	0.00213
0	6	16	297	0.01094
0	6	16	298	0.00183
0	6	16	299	0.00184
0	6	16	300	0.00784
0	6	16	301	0.01969
0	6	16	302	0.02226
0	6	16	303	0.00781
0	6	16	304	0.00652
0	6	16	305	0.03065
0	6	16	306	0.01233
0	6	16	307	0.00893
0	6	16	308	0.00334
0	6	16	309	0.00092
0	6	16	310	0.00063
0	6	16	311	0.00089
0	6	17	278	0.00032
0	6	17	279	0.00029
0	6	17	284	0.00119
0	6	17	285	0.00092
0	6	17	286	0.00416
0	6	17	288	0.00096
0	6	17	289	0.00311
0	6	17	290	0.00177
0	6	17	294	0.00104
0	6	17	295	0.00105
0	6	17	296	0.00957
0	6	17	297	0.00541
0	6	17	298	0.00942
0	6	17	299	0.00205
0	6	17	300	0.00245
0	6	17	301	0.00916
0	6	17	302	0.012
0	6	17	303	0.00653
0	6	17	304	0.00356
0	6	17	305	0.01252
0	6	17	306	0.01343
0	6	17	307	0.00793
0	6	17	308	0.01006
0	6	17	309	0.00257
0	6	17	310	0.00103
0	6	17	311	0.00028
0	6	17	312	0.00046
0	6	18	292	0.00028
0	6	18	294	0.00104
0	6	18	295	0.00507
0	6	18	296	0.00651
0	6	18	297	0.00229
0	6	18	298	0.00091
0	6	18	299	0.00121
0	6	18	300	0.00826
0	6	18	301	0.00367
0	6	18	302	0.00167
0	6	18	303	0.00276
0	6	18	304	0.00666
0	6	18	305	0.0161
0	6	18	306	0.00439
0	6	18	307	0.0066
0	6	18	308	0.00371
0	6	18	309	0.00446
0	6	18	310	0.00114
0	6	18	311	0.00043
0	6	18	312	0.00038
0	6	19	292	0.00278
0	6	19	293	0.00236
0	6	19	294	0.00204
0	6	19	295	0.00081
0	6	19	296	0.00181
0	6	19	297	0.00083
0	6	19	298	0.00231
0	6	19	299	0.01416
0	6	19	300	0.01033
0	6	19	301	0.0011
0	6	19	302	0.00124
0	6	19	303	0.00202
0	6	19	304	0.01353
0	6	19	305	0.01041
0	6	19	306	0.00433
0	6	19	307	0.00211
0	6	19	308	0.00029
0	6	19	309	0.00254
0	6	19	310	0.00066
0	6	20	286	0.00198
0	6	20	287	0.00113
0	6	20	289	0.00027
0	6	20	291	0.00048
0	6	20	293	0.00264
0	6	20	294	0.00465
0	6	20	295	0.00039
0	6	20	296	0.00195
0	6	20	297	0.00292
0	6	20	298	0.00092
0	6	20	299	0.01159
0	6	20	300	0.00207
0	6	20	301	0.00235
0	6	20	302	0.00059
0	6	20	303	0.00085
0	6	20	304	0.00049
0	6	20	305	0.00188
0	6	20	306	0.01163
0	6	20	307	0.00065
0	6	21	284	0.00085
0	6	21	285	0.00128
0	6	21	286	0.00028
0	6	21	290	0.00057
0	6	21	294	0.00038
0	6	21	295	0.00063
0	6	21	296	0.00048
0	6	21	297	0.00071
0	6	21	298	0.00246
0	6	21	299	0.00632
0	6	21	300	0.00087
0	6	21	301	0.00128
0	6	21	302	0.00105
0	6	21	303	0.00046
0	6	21	304	0.00044
0	6	21	305	0.00316
0	6	21	306	0.00257
0	6	22	284	0.00071
0	6	22	286	0.00063
0	6	22	287	0.00099
0	6	22	289	0.00044
0	6	22	290	0.00148
0	6	22	298	0.00026
0	6	22	301	0.00028
0	6	22	302	0.00059
0	6	22	303	0.00076
0	6	22	304	0.00047
0	6	22	305	0.00055
0	6	23	289	0.00241
0	6	23	294	0.00285
0	6	23	305	0.00054
0	6	24	290	0.00037
0	6	24	293	0.00026
0	8	2	318	0.0003
0	8	2	319	0.00043
0	8	2	320	0.00052
0	8	2	325	0.00102
0	8	2	328	0.00029
0	8	2	343	0.00062
0	8	2	345	0.00108
0	8	2	346	0.00037
0	8	2	352	0.00027
0	8	3	321	0.00123
0	8	3	322	0.00052
0	8	3	325	0.00034
0	8	3	326	0.001
0	8	3	328	0.00087
0	8	3	329	0.00206
0	8	3	330	0.00061
0	8	3	333	0.00043
0	8	3	334	0.00034
0	8	3	337	0.00027
0	8	3	339	0.0003
0	8	3	340	0.00065
0	8	3	341	0.00054
0	8	3	342	0.00094
0	8	3	343	0.00211
0	8	3	344	0.0009
0	8	3	345	0.00081
0	8	3	346	0.00122
0	8	3	347	0.00026
0	8	3	348	0.00039
0	8	3	349	0.00056
0	8	3	350	0.0004
0	8	3	352	0.00046
0	8	3	353	0.00031
0	8	4	308	0.00051
0	8	4	330	0.00122
0	8	4	331	0.00052
0	8	4	333	0.00073
0	8	4	334	0.00071
0	8	4	335	0.00089
0	8	4	336	0.00067
0	8	4	337	0.00265
0	8	4	338	0.00039
0	8	4	339	0.00044
0	8	4	341	0.00089
0	8	4	342	0.00058
0	8	4	343	0.00031
0	8	4	344	0.0004
0	8	4	345	0.00042
0	8	4	346	0.00175
0	8	4	347	0.00077
0	8	4	348	0.00041
0	8	4	349	0.0003
0	8	4	350	0.00054
0	8	4	351	0.00058
0	8	5	306	0.00168
0	8	5	317	0.00034
0	8	5	328	0.00036
0	8	5	329	0.00025
0	8	5	330	0.00096
0	8	5	332	0.00043
0	8	5	333	0.00033
0	8	5	334	0.00047
0	8	5	335	0.0004
0	8	5	336	0.00026
0	8	5	337	0.00065
0	8	5	338	0.00058
0	8	5	339	0.0003
0	8	5	340	0.00029
0	8	5	346	0.00026
0	8	5	348	0.00043
